Neutral,0.845842719078064,0.25599244,1
Neutral,0.8558200001716614,0.23583385,1.0
Neutral,0.8601316014925638,0.22969289,1.0
Neutral,0.8609843403100967,0.22908545,1.0
Neutral,0.8651581168174743,0.2244991,1.0
Neutral,0.8666550616423289,0.22021572,1.0
Neutral,0.8672566754477364,0.21879137,1.0
Neutral,0.867512121796608,0.21880826,1.0
Neutral,0.8671524789598253,0.2200491,1.0
Neutral,0.8686518430709839,0.21804771,1.0
Neutral,0.8716661810874939,0.21434672,1.0
Neutral,0.8725302457809448,0.21340919,1.0
Neutral,0.8724582970142365,0.21471553,1.0
Neutral,0.8729808390140533,0.21356983,1.0
Neutral,0.8735380053520203,0.2133052,1.0
Neutral,0.872664088010788,0.21457548,1.0
Neutral,0.8730016469955444,0.21220812,1.0
Neutral,0.8729099273681641,0.21008489,1.0
Neutral,0.8726220726966858,0.2079395,1.0
Neutral,0.872519564628601,0.20607314,1.0
Neutral,0.8734516620635986,0.20256403,1.0
Neutral,0.8729167938232422,0.20294273,1.0
Neutral,0.87461217045784,0.19863904,1.0
Neutral,0.8759927868843078,0.19583142,1.0
Neutral,0.8752403914928436,0.19289567,1.0
Neutral,0.875792282819748,0.19087315,1.0
Neutral,0.8736986458301544,0.19489792,1.0
Neutral,0.8731825292110443,0.19756031,1.0
Neutral,0.873134559392929,0.20011476,1.0
Neutral,0.8704552412033081,0.20557937,1.0
Neutral,0.8678937256336212,0.20944576,1.0
Neutral,0.8674845814704895,0.21118256,1.0
Neutral,0.8659137785434723,0.21495385,1.0
Neutral,0.8636116504669189,0.21946737,1.0
Neutral,0.8622311353683472,0.22431429,1.0
Neutral,0.8623150706291198,0.22709441,1.0
Neutral,0.8629644691944123,0.22677922,1.0
Neutral,0.8624773263931275,0.22763209,1.0
Neutral,0.8614245235919953,0.22913757,1.0
Neutral,0.8613691329956055,0.22879548,1.0
Neutral,0.8608394205570221,0.23054567,1.0
Neutral,0.8612318336963654,0.22947478,1.0
Neutral,0.8624455451965332,0.2256845,1.0
